img_id,lng,lat,city_id,city_name,country,continent,heading,pano_id,date,img_name_0,img_name_1,img_name_2
80000,-73.8565537,40.7184041,8,new_york,america,north_america,83,LyhcnnQrnzaTdpziNr2-EA,2019-10,80000_083.jpg,80000_203.jpg,80000_323.jpg
80001,-74.02006381661973,40.63454098062699,8,new_york,america,north_america,68,nVItgqqwvs5bDXuqBZwhRg,2019-06,80001_068.jpg,80001_188.jpg,80001_308.jpg
80002,-73.96162022718826,40.71524559025117,8,new_york,america,north_america,88,PgOpzuH-GeKeSmjKLk1gpA,2020-11,80002_088.jpg,80002_208.jpg,80002_328.jpg
80003,-74.01176661196614,40.60151662875676,8,new_york,america,north_america,17,coaXlM45AgL68X6j7cLdIg,2019-11,80003_017.jpg,80003_137.jpg,80003_257.jpg
80004,-73.99404126630346,40.67291460162195,8,new_york,america,north_america,57,c3Dx02vf6NCKcUHVMCnCVA,2020-11,80004_057.jpg,80004_177.jpg,80004_297.jpg
80005,-74.01026698091894,40.7738946516719,8,new_york,america,north_america,304,3z03grv7L5Hnt1Yj5pbRbA,2018-07,80005_304.jpg,80005_064.jpg,80005_184.jpg
80006,-74.0074623558184,40.74992120195964,8,new_york,america,north_america,107,yNRAAPJA82Mhjsa5LdKIBA,2019-06,80006_107.jpg,80006_227.jpg,80006_347.jpg
80007,-73.91509507013464,40.60816568798693,8,new_york,america,north_america,215,A5aBQxbe3z9JIUfMzeeR8Q,2019-10,80007_215.jpg,80007_335.jpg,80007_095.jpg
80008,-73.86072396179418,40.68596025875704,8,new_york,america,north_america,40,_R0NYvcqxjpi0TyhQ32Sig,2014-10,80008_040.jpg,80008_160.jpg,80008_280.jpg
80009,-73.967389,40.6004871,8,new_york,america,north_america,35,Y6kiMweIdbNGn0bpeaRXGQ,2019-10,80009_035.jpg,80009_155.jpg,80009_275.jpg
80010,-73.9144579,40.7405757,8,new_york,america,north_america,42,31SUN1eXSmGd9vhNywUosg,2018-07,80010_042.jpg,80010_162.jpg,80010_282.jpg
80011,-74.00878577803341,40.68273188867035,8,new_york,america,north_america,18,LiKrmmGSjHmiNvMZql7jXQ,2017-12,80011_018.jpg,80011_138.jpg,80011_258.jpg
80012,-74.00001955229952,40.62974782367983,8,new_york,america,north_america,266,DjbQmO1_btFLBZ0gfbycqQ,2019-07,80012_266.jpg,80012_026.jpg,80012_146.jpg
80013,-73.9005636404149,40.70257265092842,8,new_york,america,north_america,115,eCjo9wo8oyUkgKY0EAWh9A,2019-08,80013_115.jpg,80013_235.jpg,80013_355.jpg
80014,-74.0181110588069,40.71084025097962,8,new_york,america,north_america,145,DU5697yrqhW8vshEz636Tw,2017-05,80014_145.jpg,80014_265.jpg,80014_025.jpg
80015,-73.927416284868,40.6066585598636,8,new_york,america,north_america,227,frQOWyVe6opEkAfE9c678g,2019-10,80015_227.jpg,80015_347.jpg,80015_107.jpg
80016,-73.97120328106674,40.59566663149143,8,new_york,america,north_america,208,G8WMj4fbpNuMhmqFs3BtXw,2019-10,80016_208.jpg,80016_328.jpg,80016_088.jpg
80017,-73.8583572415762,40.70596494472494,8,new_york,america,north_america,263,Pcqsm6Ks8IgLLqCOFUIR7w,2013-09,80017_263.jpg,80017_023.jpg,80017_143.jpg
80018,-74.01558515482581,40.64737997576641,8,new_york,america,north_america,154,75vkb-mrU8LMu5LqiLPtuQ,2019-07,80018_154.jpg,80018_274.jpg,80018_034.jpg
80019,-73.97516117932848,40.62655001080758,8,new_york,america,north_america,297,ymUzqFm69LvUSELvVK2wCQ,2014-09,80019_297.jpg,80019_057.jpg,80019_177.jpg
80020,-73.9557188,40.6471457,8,new_york,america,north_america,326,TB35YvvGRb5rbLxFOOsWag,2020-11,80020_326.jpg,80020_086.jpg,80020_206.jpg
80021,-73.83406393415945,40.6411907637132,8,new_york,america,north_america,97,FGWdY6sg_ofLABQKks8MtQ,2019-10,80021_097.jpg,80021_217.jpg,80021_337.jpg
80022,-73.82870961431078,40.7123280967888,8,new_york,america,north_america,336,nODBMJp-MqPmDA0MN3HSAw,2019-08,80022_336.jpg,80022_096.jpg,80022_216.jpg
80023,-73.91790236463835,40.66716865645384,8,new_york,america,north_america,53,MEn47DA4nM8pooV7Mesqbw,2019-06,80023_053.jpg,80023_173.jpg,80023_293.jpg
80024,-73.84655924338435,40.7706415850052,8,new_york,america,north_america,35,cyOkdt-vo_squdym_vnIVQ,2019-11,80024_035.jpg,80024_155.jpg,80024_275.jpg
80025,-73.99857669824509,40.64075479646787,8,new_york,america,north_america,188,uJXistQX2Ou-xRFm8IxG7w,2019-07,80025_188.jpg,80025_308.jpg,80025_068.jpg
80026,-73.95485666747012,40.59899861459142,8,new_york,america,north_america,225,Mbk6gFURc9ALs64MBFBwmw,2019-10,80026_225.jpg,80026_345.jpg,80026_105.jpg
80027,-73.84348689127246,40.65038796170512,8,new_york,america,north_america,319,kDzLqVizK5eXwYkT2CqvRA,2018-06,80027_319.jpg,80027_079.jpg,80027_199.jpg
80028,-73.95679357167754,40.76269630334219,8,new_york,america,north_america,63,Lz9wTqHSzvfREjmSISRKfg,2020-11,80028_063.jpg,80028_183.jpg,80028_303.jpg
80029,-73.86960217002094,40.70590325467463,8,new_york,america,north_america,169,dWBwW5nokbtQfb_gCNmnCQ,2018-07,80029_169.jpg,80029_289.jpg,80029_049.jpg
80030,-73.94983856985252,40.70089612300811,8,new_york,america,north_america,346,K8aOAuAYRK49PIGwdfv-ww,2020-11,80030_346.jpg,80030_106.jpg,80030_226.jpg
80031,-73.95687599840437,40.60131971230477,8,new_york,america,north_america,138,pdPcb3oKAHiHAdGBd63MgQ,2017-09,80031_138.jpg,80031_258.jpg,80031_018.jpg
80032,-73.88756036417216,40.7059971883906,8,new_york,america,north_america,154,7_QeTsdlOeVzMJ5-o2kPQA,2018-06,80032_154.jpg,80032_274.jpg,80032_034.jpg
80033,-74.0084794,40.6572402,8,new_york,america,north_america,151,n74HOrabGRkOitFFnY7xcA,2019-07,80033_151.jpg,80033_271.jpg,80033_031.jpg
80034,-73.84989648482974,40.72420643394102,8,new_york,america,north_america,51,8AKI_4dsnW3_MJicJQu_Pg,2019-10,80034_051.jpg,80034_171.jpg,80034_291.jpg
80035,-73.87292562576742,40.74971357290691,8,new_york,america,north_america,188,j1y4xCYiNnqz5EnKzXvUPA,2019-08,80035_188.jpg,80035_308.jpg,80035_068.jpg
80036,-73.84418415536926,40.64812199674196,8,new_york,america,north_america,205,Uu18ZI48gm6XMNkN7wn6AA,2018-06,80036_205.jpg,80036_325.jpg,80036_085.jpg
80037,-73.85694665126587,40.72714753295416,8,new_york,america,north_america,130,A_XLdMwO0ZyHL8ibc08mnA,2019-10,80037_130.jpg,80037_250.jpg,80037_010.jpg
80038,-73.89457715080287,40.72849917265189,8,new_york,america,north_america,202,5ASV9CBU2W-vCBVP3urD1Q,2020-11,80038_202.jpg,80038_322.jpg,80038_082.jpg
80039,-73.90377652619821,40.77689857291192,8,new_york,america,north_america,317,uaN83ZiAxJn2_hxNC6L3Sg,2017-12,80039_317.jpg,80039_077.jpg,80039_197.jpg
80040,-73.85515724914374,40.78386071392777,8,new_york,america,north_america,243,HBMfOuv-7bzmBXonT34JvA,2019-08,80040_243.jpg,80040_003.jpg,80040_123.jpg
80041,-73.89020915880512,40.76137448559948,8,new_york,america,north_america,20,6IpqQ2LNezFGCmNGBPQaYQ,2020-11,80041_020.jpg,80041_140.jpg,80041_260.jpg
80042,-73.932108,40.7872836,8,new_york,america,north_america,120,PQ3bIik0D4-BsnWiy17OAg,2017-12,80042_120.jpg,80042_240.jpg,80042_000.jpg
80043,-74.00006510097204,40.70336399555493,8,new_york,america,north_america,1,wca-nfH2OuvKXHFKB9MyNQ,2016-10,80043_001.jpg,80043_121.jpg,80043_241.jpg
80044,-73.9352236219769,40.78867775458177,8,new_york,america,north_america,128,jZKzFTPwb4kFCGN6W_3VFQ,2016-10,80044_128.jpg,80044_248.jpg,80044_008.jpg
80045,-74.00597958337127,40.75094373691113,8,new_york,america,north_america,118,DxWjb7fyjppE-Xh7guU0-g,2019-06,80045_118.jpg,80045_238.jpg,80045_358.jpg
80046,-73.8799230131726,40.66844897470859,8,new_york,america,north_america,172,Dx--0PgunEik4AsFHlTlgw,2019-11,80046_172.jpg,80046_292.jpg,80046_052.jpg
